,model,seed,b,pion,metric,value
0,B_v1_v2_v3_energy_part_mean_pseudorapidity_part_mean_mom_T_part_mean_energy_part_var_pseudorapidity_part_var_mom_T_part_var,61453,1.7,211,e_kl,0.03765109513876491
1,B_v1_v2_v3_energy_part_mean_pseudorapidity_part_mean_mom_T_part_mean_energy_part_var_pseudorapidity_part_var_mom_T_part_var,61453,1.7,211,e_w1,0.049337658903428484
2,B_v1_v2_v3_energy_part_mean_pseudorapidity_part_mean_mom_T_part_mean_energy_part_var_pseudorapidity_part_var_mom_T_part_var,61453,1.7,211,eta_kl,0.002231028437601742
3,B_v1_v2_v3_energy_part_mean_pseudorapidity_part_mean_mom_T_part_mean_energy_part_var_pseudorapidity_part_var_mom_T_part_var,61453,1.7,211,eta_w1,0.02319293117691164
4,B_v1_v2_v3_energy_part_mean_pseudorapidity_part_mean_mom_T_part_mean_energy_part_var_pseudorapidity_part_var_mom_T_part_var,61453,1.7,211,e_kl_0,0.2131597193924557
5,B_v1_v2_v3_energy_part_mean_pseudorapidity_part_mean_mom_T_part_mean_energy_part_var_pseudorapidity_part_var_mom_T_part_var,61453,1.7,211,e_w1_0,0.08756106585264208
6,B_v1_v2_v3_energy_part_mean_pseudorapidity_part_mean_mom_T_part_mean_energy_part_var_pseudorapidity_part_var_mom_T_part_var,61453,1.7,211,eta_kl_0,0.04964878150299078
7,B_v1_v2_v3_energy_part_mean_pseudorapidity_part_mean_mom_T_part_mean_energy_part_var_pseudorapidity_part_var_mom_T_part_var,61453,1.7,211,eta_w1_0,0.19596552731702105
8,B_v1_v2_v3_energy_part_mean_pseudorapidity_part_mean_mom_T_part_mean_energy_part_var_pseudorapidity_part_var_mom_T_part_var,61453,1.7,211,v1,0.00469537691157596
9,B_v1_v2_v3_energy_part_mean_pseudorapidity_part_mean_mom_T_part_mean_energy_part_var_pseudorapidity_part_var_mom_T_part_var,61453,1.7,211,v2,0.006977395194310513
10,B_v1_v2_v3_energy_part_mean_pseudorapidity_part_mean_mom_T_part_mean_energy_part_var_pseudorapidity_part_var_mom_T_part_var,61453,1.7,211,v3,0.004399180883588821
11,B_v1_v2_v3_energy_part_mean_pseudorapidity_part_mean_mom_T_part_mean_energy_part_var_pseudorapidity_part_var_mom_T_part_var,61453,1.7,211,pt,10.955
12,B_v1_v2_v3_energy_part_mean_pseudorapidity_part_mean_mom_T_part_mean_energy_part_var_pseudorapidity_part_var_mom_T_part_var,61453,1.7,211,e,9.79
13,B_v1_v2_v3_energy_part_mean_pseudorapidity_part_mean_mom_T_part_mean_energy_part_var_pseudorapidity_part_var_mom_T_part_var,61453,1.7,-211,e_kl,0.04984495965874029
14,B_v1_v2_v3_energy_part_mean_pseudorapidity_part_mean_mom_T_part_mean_energy_part_var_pseudorapidity_part_var_mom_T_part_var,61453,1.7,-211,e_w1,0.060831244988810464
15,B_v1_v2_v3_energy_part_mean_pseudorapidity_part_mean_mom_T_part_mean_energy_part_var_pseudorapidity_part_var_mom_T_part_var,61453,1.7,-211,eta_kl,0.005155846277804654
16,B_v1_v2_v3_energy_part_mean_pseudorapidity_part_mean_mom_T_part_mean_energy_part_var_pseudorapidity_part_var_mom_T_part_var,61453,1.7,-211,eta_w1,0.0323333236382955
17,B_v1_v2_v3_energy_part_mean_pseudorapidity_part_mean_mom_T_part_mean_energy_part_var_pseudorapidity_part_var_mom_T_part_var,61453,1.7,-211,e_kl_0,0.14284754446592893
18,B_v1_v2_v3_energy_part_mean_pseudorapidity_part_mean_mom_T_part_mean_energy_part_var_pseudorapidity_part_var_mom_T_part_var,61453,1.7,-211,e_w1_0,0.09336626380681992
19,B_v1_v2_v3_energy_part_mean_pseudorapidity_part_mean_mom_T_part_mean_energy_part_var_pseudorapidity_part_var_mom_T_part_var,61453,1.7,-211,eta_kl_0,0.014034531314464308
20,B_v1_v2_v3_energy_part_mean_pseudorapidity_part_mean_mom_T_part_mean_energy_part_var_pseudorapidity_part_var_mom_T_part_var,61453,1.7,-211,eta_w1_0,0.19280479019042107
21,B_v1_v2_v3_energy_part_mean_pseudorapidity_part_mean_mom_T_part_mean_energy_part_var_pseudorapidity_part_var_mom_T_part_var,61453,1.7,-211,v1,0.003988212018073404
22,B_v1_v2_v3_energy_part_mean_pseudorapidity_part_mean_mom_T_part_mean_energy_part_var_pseudorapidity_part_var_mom_T_part_var,61453,1.7,-211,v2,0.014466556865055637
23,B_v1_v2_v3_energy_part_mean_pseudorapidity_part_mean_mom_T_part_mean_energy_part_var_pseudorapidity_part_var_mom_T_part_var,61453,1.7,-211,v3,0.0031301905970229143
24,B_v1_v2_v3_energy_part_mean_pseudorapidity_part_mean_mom_T_part_mean_energy_part_var_pseudorapidity_part_var_mom_T_part_var,61453,1.7,-211,pt,10.955
25,B_v1_v2_v3_energy_part_mean_pseudorapidity_part_mean_mom_T_part_mean_energy_part_var_pseudorapidity_part_var_mom_T_part_var,61453,1.7,-211,e,9.79
26,B_v1_v2_v3_energy_part_mean_pseudorapidity_part_mean_mom_T_part_mean_energy_part_var_pseudorapidity_part_var_mom_T_part_var,61453,1.7,111,e_kl,0.052564268460556424
27,B_v1_v2_v3_energy_part_mean_pseudorapidity_part_mean_mom_T_part_mean_energy_part_var_pseudorapidity_part_var_mom_T_part_var,61453,1.7,111,e_w1,0.07432734203125749
28,B_v1_v2_v3_energy_part_mean_pseudorapidity_part_mean_mom_T_part_mean_energy_part_var_pseudorapidity_part_var_mom_T_part_var,61453,1.7,111,eta_kl,0.004482398901775784
29,B_v1_v2_v3_energy_part_mean_pseudorapidity_part_mean_mom_T_part_mean_energy_part_var_pseudorapidity_part_var_mom_T_part_var,61453,1.7,111,eta_w1,0.03736108827886448
30,B_v1_v2_v3_energy_part_mean_pseudorapidity_part_mean_mom_T_part_mean_energy_part_var_pseudorapidity_part_var_mom_T_part_var,61453,1.7,111,e_kl_0,0.15344353027350993
31,B_v1_v2_v3_energy_part_mean_pseudorapidity_part_mean_mom_T_part_mean_energy_part_var_pseudorapidity_part_var_mom_T_part_var,61453,1.7,111,e_w1_0,0.15406608670949934
32,B_v1_v2_v3_energy_part_mean_pseudorapidity_part_mean_mom_T_part_mean_energy_part_var_pseudorapidity_part_var_mom_T_part_var,61453,1.7,111,eta_kl_0,0.019809851499059564
33,B_v1_v2_v3_energy_part_mean_pseudorapidity_part_mean_mom_T_part_mean_energy_part_var_pseudorapidity_part_var_mom_T_part_var,61453,1.7,111,eta_w1_0,0.12055818215078036
34,B_v1_v2_v3_energy_part_mean_pseudorapidity_part_mean_mom_T_part_mean_energy_part_var_pseudorapidity_part_var_mom_T_part_var,61453,1.7,111,v1,0.011983991388479949
35,B_v1_v2_v3_energy_part_mean_pseudorapidity_part_mean_mom_T_part_mean_energy_part_var_pseudorapidity_part_var_mom_T_part_var,61453,1.7,111,v2,0.007106297954601183
36,B_v1_v2_v3_energy_part_mean_pseudorapidity_part_mean_mom_T_part_mean_energy_part_var_pseudorapidity_part_var_mom_T_part_var,61453,1.7,111,v3,0.02205937779385162
37,B_v1_v2_v3_energy_part_mean_pseudorapidity_part_mean_mom_T_part_mean_energy_part_var_pseudorapidity_part_var_mom_T_part_var,61453,1.7,111,pt,10.955
38,B_v1_v2_v3_energy_part_mean_pseudorapidity_part_mean_mom_T_part_mean_energy_part_var_pseudorapidity_part_var_mom_T_part_var,61453,1.7,111,e,9.79
39,B_v1_v2_v3_energy_part_mean_pseudorapidity_part_mean_mom_T_part_mean_energy_part_var_pseudorapidity_part_var_mom_T_part_var,61453,5.0,211,e_kl,0.03602161607669567
40,B_v1_v2_v3_energy_part_mean_pseudorapidity_part_mean_mom_T_part_mean_energy_part_var_pseudorapidity_part_var_mom_T_part_var,61453,5.0,211,e_w1,0.04195717545627565
41,B_v1_v2_v3_energy_part_mean_pseudorapidity_part_mean_mom_T_part_mean_energy_part_var_pseudorapidity_part_var_mom_T_part_var,61453,5.0,211,eta_kl,0.005462712860080108
42,B_v1_v2_v3_energy_part_mean_pseudorapidity_part_mean_mom_T_part_mean_energy_part_var_pseudorapidity_part_var_mom_T_part_var,61453,5.0,211,eta_w1,0.07047999544051027
43,B_v1_v2_v3_energy_part_mean_pseudorapidity_part_mean_mom_T_part_mean_energy_part_var_pseudorapidity_part_var_mom_T_part_var,61453,5.0,211,e_kl_0,0.13851663391083624
44,B_v1_v2_v3_energy_part_mean_pseudorapidity_part_mean_mom_T_part_mean_energy_part_var_pseudorapidity_part_var_mom_T_part_var,61453,5.0,211,e_w1_0,0.11479050904512407
45,B_v1_v2_v3_energy_part_mean_pseudorapidity_part_mean_mom_T_part_mean_energy_part_var_pseudorapidity_part_var_mom_T_part_var,61453,5.0,211,eta_kl_0,0.07670489166709674
46,B_v1_v2_v3_energy_part_mean_pseudorapidity_part_mean_mom_T_part_mean_energy_part_var_pseudorapidity_part_var_mom_T_part_var,61453,5.0,211,eta_w1_0,0.17904186208732426
47,B_v1_v2_v3_energy_part_mean_pseudorapidity_part_mean_mom_T_part_mean_energy_part_var_pseudorapidity_part_var_mom_T_part_var,61453,5.0,211,v1,0.01890916119536981
48,B_v1_v2_v3_energy_part_mean_pseudorapidity_part_mean_mom_T_part_mean_energy_part_var_pseudorapidity_part_var_mom_T_part_var,61453,5.0,211,v2,0.05403310482228292
49,B_v1_v2_v3_energy_part_mean_pseudorapidity_part_mean_mom_T_part_mean_energy_part_var_pseudorapidity_part_var_mom_T_part_var,61453,5.0,211,v3,0.09602490870508298
50,B_v1_v2_v3_energy_part_mean_pseudorapidity_part_mean_mom_T_part_mean_energy_part_var_pseudorapidity_part_var_mom_T_part_var,61453,5.0,211,pt,9.75
51,B_v1_v2_v3_energy_part_mean_pseudorapidity_part_mean_mom_T_part_mean_energy_part_var_pseudorapidity_part_var_mom_T_part_var,61453,5.0,211,e,8.315
52,B_v1_v2_v3_energy_part_mean_pseudorapidity_part_mean_mom_T_part_mean_energy_part_var_pseudorapidity_part_var_mom_T_part_var,61453,5.0,-211,e_kl,0.050337046927102794
53,B_v1_v2_v3_energy_part_mean_pseudorapidity_part_mean_mom_T_part_mean_energy_part_var_pseudorapidity_part_var_mom_T_part_var,61453,5.0,-211,e_w1,0.05709128946381273
54,B_v1_v2_v3_energy_part_mean_pseudorapidity_part_mean_mom_T_part_mean_energy_part_var_pseudorapidity_part_var_mom_T_part_var,61453,5.0,-211,eta_kl,0.004665367870403306
55,B_v1_v2_v3_energy_part_mean_pseudorapidity_part_mean_mom_T_part_mean_energy_part_var_pseudorapidity_part_var_mom_T_part_var,61453,5.0,-211,eta_w1,0.03494224079479156
56,B_v1_v2_v3_energy_part_mean_pseudorapidity_part_mean_mom_T_part_mean_energy_part_var_pseudorapidity_part_var_mom_T_part_var,61453,5.0,-211,e_kl_0,0.07364980506663012
57,B_v1_v2_v3_energy_part_mean_pseudorapidity_part_mean_mom_T_part_mean_energy_part_var_pseudorapidity_part_var_mom_T_part_var,61453,5.0,-211,e_w1_0,0.08979874163866042
58,B_v1_v2_v3_energy_part_mean_pseudorapidity_part_mean_mom_T_part_mean_energy_part_var_pseudorapidity_part_var_mom_T_part_var,61453,5.0,-211,eta_kl_0,0.019510491031277694
59,B_v1_v2_v3_energy_part_mean_pseudorapidity_part_mean_mom_T_part_mean_energy_part_var_pseudorapidity_part_var_mom_T_part_var,61453,5.0,-211,eta_w1_0,0.16126659376779573
60,B_v1_v2_v3_energy_part_mean_pseudorapidity_part_mean_mom_T_part_mean_energy_part_var_pseudorapidity_part_var_mom_T_part_var,61453,5.0,-211,v1,0.08030662526749964
61,B_v1_v2_v3_energy_part_mean_pseudorapidity_part_mean_mom_T_part_mean_energy_part_var_pseudorapidity_part_var_mom_T_part_var,61453,5.0,-211,v2,0.01082526819921954
62,B_v1_v2_v3_energy_part_mean_pseudorapidity_part_mean_mom_T_part_mean_energy_part_var_pseudorapidity_part_var_mom_T_part_var,61453,5.0,-211,v3,0.008930031151315293
63,B_v1_v2_v3_energy_part_mean_pseudorapidity_part_mean_mom_T_part_mean_energy_part_var_pseudorapidity_part_var_mom_T_part_var,61453,5.0,-211,pt,9.75
64,B_v1_v2_v3_energy_part_mean_pseudorapidity_part_mean_mom_T_part_mean_energy_part_var_pseudorapidity_part_var_mom_T_part_var,61453,5.0,-211,e,8.315
65,B_v1_v2_v3_energy_part_mean_pseudorapidity_part_mean_mom_T_part_mean_energy_part_var_pseudorapidity_part_var_mom_T_part_var,61453,5.0,111,e_kl,0.049623432926576394
66,B_v1_v2_v3_energy_part_mean_pseudorapidity_part_mean_mom_T_part_mean_energy_part_var_pseudorapidity_part_var_mom_T_part_var,61453,5.0,111,e_w1,0.05574557554392025
67,B_v1_v2_v3_energy_part_mean_pseudorapidity_part_mean_mom_T_part_mean_energy_part_var_pseudorapidity_part_var_mom_T_part_var,61453,5.0,111,eta_kl,0.0034915362649546315
68,B_v1_v2_v3_energy_part_mean_pseudorapidity_part_mean_mom_T_part_mean_energy_part_var_pseudorapidity_part_var_mom_T_part_var,61453,5.0,111,eta_w1,0.028946428937795976
69,B_v1_v2_v3_energy_part_mean_pseudorapidity_part_mean_mom_T_part_mean_energy_part_var_pseudorapidity_part_var_mom_T_part_var,61453,5.0,111,e_kl_0,0.16011340351352163
70,B_v1_v2_v3_energy_part_mean_pseudorapidity_part_mean_mom_T_part_mean_energy_part_var_pseudorapidity_part_var_mom_T_part_var,61453,5.0,111,e_w1_0,0.13333178222179412
71,B_v1_v2_v3_energy_part_mean_pseudorapidity_part_mean_mom_T_part_mean_energy_part_var_pseudorapidity_part_var_mom_T_part_var,61453,5.0,111,eta_kl_0,-0.0006736790859398648
72,B_v1_v2_v3_energy_part_mean_pseudorapidity_part_mean_mom_T_part_mean_energy_part_var_pseudorapidity_part_var_mom_T_part_var,61453,5.0,111,eta_w1_0,0.1209489482291974
73,B_v1_v2_v3_energy_part_mean_pseudorapidity_part_mean_mom_T_part_mean_energy_part_var_pseudorapidity_part_var_mom_T_part_var,61453,5.0,111,v1,0.054302920288359896
74,B_v1_v2_v3_energy_part_mean_pseudorapidity_part_mean_mom_T_part_mean_energy_part_var_pseudorapidity_part_var_mom_T_part_var,61453,5.0,111,v2,0.02548648435336972
75,B_v1_v2_v3_energy_part_mean_pseudorapidity_part_mean_mom_T_part_mean_energy_part_var_pseudorapidity_part_var_mom_T_part_var,61453,5.0,111,v3,0.017270860603043708
76,B_v1_v2_v3_energy_part_mean_pseudorapidity_part_mean_mom_T_part_mean_energy_part_var_pseudorapidity_part_var_mom_T_part_var,61453,5.0,111,pt,9.75
77,B_v1_v2_v3_energy_part_mean_pseudorapidity_part_mean_mom_T_part_mean_energy_part_var_pseudorapidity_part_var_mom_T_part_var,61453,5.0,111,e,8.315
78,B_v1_v2_v3,61453,1.7,211,e_kl,0.0650837811132654
79,B_v1_v2_v3,61453,1.7,211,e_w1,0.05894596442580223
80,B_v1_v2_v3,61453,1.7,211,eta_kl,0.0032053490739854737
81,B_v1_v2_v3,61453,1.7,211,eta_w1,0.02938992237219021
82,B_v1_v2_v3,61453,1.7,211,e_kl_0,0.39862568460471565
83,B_v1_v2_v3,61453,1.7,211,e_w1_0,0.15549257010221484
84,B_v1_v2_v3,61453,1.7,211,eta_kl_0,0.03942689032281211
85,B_v1_v2_v3,61453,1.7,211,eta_w1_0,0.17473270586167927
86,B_v1_v2_v3,61453,1.7,211,v1,0.04345541510282544
87,B_v1_v2_v3,61453,1.7,211,v2,0.002229144563754731
