,model,pion,metric,value
0,urqmd_1.7,211,e_kl,0.028602245071364784
1,urqmd_1.7,211,e_w1,0.02194777496159077
2,urqmd_1.7,211,eta_kl,0.005606881307268305
3,urqmd_1.7,211,eta_w1,0.044930235847180804
4,urqmd_1.7,211,e_kl_0,0.25465569237724817
5,urqmd_1.7,211,e_w1_0,0.054965119063854234
6,urqmd_1.7,211,eta_kl_0,0.02685533235054569
7,urqmd_1.7,211,eta_w1_0,0.1432808944734279
8,urqmd_1.7,211,v1,0.009112099815228807
9,urqmd_1.7,211,v2,0.01996940028542438
10,urqmd_1.7,211,v3,0.009838753969221571
11,urqmd_1.7,211,pt,6.425000000000001
12,urqmd_1.7,211,e,5.94
13,urqmd_1.7,-211,e_kl,0.03297164512249321
14,urqmd_1.7,-211,e_w1,0.0383200548411835
15,urqmd_1.7,-211,eta_kl,0.004477110968952853
16,urqmd_1.7,-211,eta_w1,0.049258832982654675
17,urqmd_1.7,-211,e_kl_0,0.1380350665976048
18,urqmd_1.7,-211,e_w1_0,0.05916927129030229
19,urqmd_1.7,-211,eta_kl_0,0.011890689320360238
20,urqmd_1.7,-211,eta_w1_0,0.09177595263579857
21,urqmd_1.7,-211,v1,0.0013344069117328739
22,urqmd_1.7,-211,v2,0.010317482796939606
23,urqmd_1.7,-211,v3,0.006601155447466337
24,urqmd_1.7,-211,pt,6.425000000000001
25,urqmd_1.7,-211,e,5.94
26,urqmd_1.7,111,e_kl,0.03504779569771515
27,urqmd_1.7,111,e_w1,0.050551870156611715
28,urqmd_1.7,111,eta_kl,0.0034465044760154935
29,urqmd_1.7,111,eta_w1,0.03192671253499222
30,urqmd_1.7,111,e_kl_0,0.10405385849297864
31,urqmd_1.7,111,e_w1_0,0.11075151771306992
32,urqmd_1.7,111,eta_kl_0,0.003727455133626249
33,urqmd_1.7,111,eta_w1_0,0.06434474560555828
34,urqmd_1.7,111,v1,0.008252085960944917
35,urqmd_1.7,111,v2,0.0035554121726253307
36,urqmd_1.7,111,v3,0.003607573128866868
37,urqmd_1.7,111,pt,6.425000000000001
38,urqmd_1.7,111,e,5.94
39,urqmd_5,211,e_kl,0.00863116348056535
40,urqmd_5,211,e_w1,0.0211341078283629
41,urqmd_5,211,eta_kl,0.0021046621991610355
42,urqmd_5,211,eta_w1,0.03827598868728334
43,urqmd_5,211,e_kl_0,0.06369501496941626
