,model,seed,b,pion,metric,value
0,Pion_Gan_Generator,61453,1.7,211,e_kl,0.03995134602070564
1,Pion_Gan_Generator,61453,1.7,211,e_w1,0.046456953365178334
2,Pion_Gan_Generator,61453,1.7,211,eta_kl,0.002408330519149678
3,Pion_Gan_Generator,61453,1.7,211,eta_w1,0.022455301855978695
4,Pion_Gan_Generator,61453,1.7,211,e_kl_0,0.2244261132506701
5,Pion_Gan_Generator,61453,1.7,211,e_w1_0,0.0984433150291443
6,Pion_Gan_Generator,61453,1.7,211,eta_kl_0,0.04501808641423214
7,Pion_Gan_Generator,61453,1.7,211,eta_w1_0,0.13975560421637057
8,Pion_Gan_Generator,61453,1.7,211,v1,0.00400398241291499
9,Pion_Gan_Generator,61453,1.7,211,v2,0.026599529803426072
10,Pion_Gan_Generator,61453,1.7,211,v3,0.007416371178080115
11,Pion_Gan_Generator,61453,1.7,211,pt,8.4975
12,Pion_Gan_Generator,61453,1.7,211,e,7.67
13,Pion_Gan_Generator,61453,1.7,-211,e_kl,0.04017265680310457
14,Pion_Gan_Generator,61453,1.7,-211,e_w1,0.051025318851073594
15,Pion_Gan_Generator,61453,1.7,-211,eta_kl,0.003550595714606827
16,Pion_Gan_Generator,61453,1.7,-211,eta_w1,0.026449677894401932
17,Pion_Gan_Generator,61453,1.7,-211,e_kl_0,0.13886705976415192
18,Pion_Gan_Generator,61453,1.7,-211,e_w1_0,0.10510886430740356
19,Pion_Gan_Generator,61453,1.7,-211,eta_kl_0,0.02718711152534151
20,Pion_Gan_Generator,61453,1.7,-211,eta_w1_0,0.18950401614245493
21,Pion_Gan_Generator,61453,1.7,-211,v1,0.010145436873329203
22,Pion_Gan_Generator,61453,1.7,-211,v2,0.013395871955419953
23,Pion_Gan_Generator,61453,1.7,-211,v3,0.0033253917971702374
24,Pion_Gan_Generator,61453,1.7,-211,pt,8.4975
25,Pion_Gan_Generator,61453,1.7,-211,e,7.67
26,Pion_Gan_Generator,61453,1.7,111,e_kl,0.04285702563275251
27,Pion_Gan_Generator,61453,1.7,111,e_w1,0.05867163141923291
28,Pion_Gan_Generator,61453,1.7,111,eta_kl,0.006895408772434055
29,Pion_Gan_Generator,61453,1.7,111,eta_w1,0.030764215065364194
30,Pion_Gan_Generator,61453,1.7,111,e_kl_0,0.13399831731685505
31,Pion_Gan_Generator,61453,1.7,111,e_w1_0,0.12476058602333069
32,Pion_Gan_Generator,61453,1.7,111,eta_kl_0,0.01975887543985894
33,Pion_Gan_Generator,61453,1.7,111,eta_w1_0,0.12006690589078059
34,Pion_Gan_Generator,61453,1.7,111,v1,0.01634371565131096
35,Pion_Gan_Generator,61453,1.7,111,v2,0.004891557314861551
36,Pion_Gan_Generator,61453,1.7,111,v3,0.002796523416006629
37,Pion_Gan_Generator,61453,1.7,111,pt,8.4975
38,Pion_Gan_Generator,61453,1.7,111,e,7.67
39,Pion_Gan_Generator,61453,5.0,211,e_kl,0.03155798198624582
40,Pion_Gan_Generator,61453,5.0,211,e_w1,0.03802119711063091
