,model,seed,b,pion,metric,value
0,std,61453,1.7,211,e_kl,0.03995134602070564
1,std,61453,1.7,211,e_w1,0.046456953365178334
2,std,61453,1.7,211,eta_kl,0.002408330519149678
3,std,61453,1.7,211,eta_w1,0.022455301855978695
4,std,61453,1.7,211,e_kl_0,0.2244261132506701
5,std,61453,1.7,211,e_w1_0,0.0984433150291443
6,std,61453,1.7,211,eta_kl_0,0.04501808641423214
7,std,61453,1.7,211,eta_w1_0,0.13975560421637057
8,std,61453,1.7,211,v1,0.00400398241291499
9,std,61453,1.7,211,v2,0.026599529803426072
10,std,61453,1.7,211,v3,0.007416371178080115
11,std,61453,1.7,211,pt,8.4975
12,std,61453,1.7,211,e,7.67
13,std,61453,1.7,-211,e_kl,0.04017265680310457
14,std,61453,1.7,-211,e_w1,0.051025318851073594
15,std,61453,1.7,-211,eta_kl,0.003550595714606827
16,std,61453,1.7,-211,eta_w1,0.026449677894401932
17,std,61453,1.7,-211,e_kl_0,0.13886705976415192
18,std,61453,1.7,-211,e_w1_0,0.10510886430740356
19,std,61453,1.7,-211,eta_kl_0,0.02718711152534151
20,std,61453,1.7,-211,eta_w1_0,0.18950401614245493
21,std,61453,1.7,-211,v1,0.010145436873329203
22,std,61453,1.7,-211,v2,0.013395871955419953
23,std,61453,1.7,-211,v3,0.0033253917971702374
24,std,61453,1.7,-211,pt,8.4975
25,std,61453,1.7,-211,e,7.67
26,std,61453,1.7,111,e_kl,0.04285702563275251
27,std,61453,1.7,111,e_w1,0.05867163141923291
28,std,61453,1.7,111,eta_kl,0.006895408772434055
29,std,61453,1.7,111,eta_w1,0.030764215065364194
30,std,61453,1.7,111,e_kl_0,0.13399831731685505
31,std,61453,1.7,111,e_w1_0,0.12476058602333069
32,std,61453,1.7,111,eta_kl_0,0.01975887543985894
33,std,61453,1.7,111,eta_w1_0,0.12006690589078059
34,std,61453,1.7,111,v1,0.01634371565131096
35,std,61453,1.7,111,v2,0.004891557314861551
36,std,61453,1.7,111,v3,0.002796523416006629
37,std,61453,1.7,111,pt,8.4975
38,std,61453,1.7,111,e,7.67
39,std,61453,5.0,211,e_kl,0.03155798198624582
40,std,61453,5.0,211,e_w1,0.03802119711063091
41,std,61453,5.0,211,eta_kl,0.0038230491562111237
42,std,61453,5.0,211,eta_w1,0.041429318497964246
43,std,61453,5.0,211,e_kl_0,0.10167910026313684
44,std,61453,5.0,211,e_w1_0,0.08519290566444396
45,std,61453,5.0,211,eta_kl_0,0.009070775834561833
46,std,61453,5.0,211,eta_w1_0,0.13985421634279194
47,std,61453,5.0,211,v1,0.05989061053239043
48,std,61453,5.0,211,v2,0.010796797019418545
49,std,61453,5.0,211,v3,0.03131052240572469
50,std,61453,5.0,211,pt,8.925
51,std,61453,5.0,211,e,7.352499999999999
52,std,61453,5.0,-211,e_kl,0.035808632999994594
53,std,61453,5.0,-211,e_w1,0.04307026285564337
54,std,61453,5.0,-211,eta_kl,0.005767450204200147
55,std,61453,5.0,-211,eta_w1,0.03594324455414695
56,std,61453,5.0,-211,e_kl_0,0.04142624885769307
57,std,61453,5.0,-211,e_w1_0,0.07030133873224259
58,std,61453,5.0,-211,eta_kl_0,0.009824101349617647
59,std,61453,5.0,-211,eta_w1_0,0.12892728343140336
60,std,61453,5.0,-211,v1,0.016218450323406523
61,std,61453,5.0,-211,v2,0.0036971206120993204
62,std,61453,5.0,-211,v3,0.003217928446698587
63,std,61453,5.0,-211,pt,8.925
64,std,61453,5.0,-211,e,7.352499999999999
65,std,61453,5.0,111,e_kl,0.046236668724296236
66,std,61453,5.0,111,e_w1,0.04008557502595589
67,std,61453,5.0,111,eta_kl,0.00443452421643445
68,std,61453,5.0,111,eta_w1,0.04534362181790161
69,std,61453,5.0,111,e_kl_0,0.16367698201497433
70,std,61453,5.0,111,e_w1_0,0.09147950679063796
71,std,61453,5.0,111,eta_kl_0,0.01876762505432349
72,std,61453,5.0,111,eta_w1_0,0.1249280251353048
73,std,61453,5.0,111,v1,0.003315820881510342
74,std,61453,5.0,111,v2,0.011115314891800478
75,std,61453,5.0,111,v3,0.004254088770512372
76,std,61453,5.0,111,pt,8.925
77,std,61453,5.0,111,e,7.352499999999999
78,learn_1,61453,1.7,211,e_kl,0.02449508082355851
79,learn_1,61453,1.7,211,e_w1,0.02603851292104948
80,learn_1,61453,1.7,211,eta_kl,0.002551272293018024
81,learn_1,61453,1.7,211,eta_w1,0.027362792141170093
82,learn_1,61453,1.7,211,e_kl_0,0.2523374374409545
